feature,summary,sample,x,y,sample_text
189,"Pubs and Taverns, Locations, Historical Operations","""Pub names may preserve folk traditions.""",8.036026,6.2633343,Pub names may preserve folk traditions.
190,Locations within Various Countries,"""Dade City is located in the Tampa Bay Area.""",10.58047,8.341007,Dade City is located in the Tampa Bay Area.
191,"Exhibitions, Art, Cultural Focus","""The exhibition marked the beginning of a new art movement.""",10.398433,1.5708663,The exhibition marked the beginning of a new art movement.
192,"Notable Individuals, Biblical References, Historical Figures","""Isaac's Universe is a fictional universe created by Isaac Asimov for other science fiction writers to use as a setting.""",10.923995,5.097802,Isaac's Universe is a fictional universe created by Isaac Asimov for other science fiction writers to use as a setting.
193,Characters or entities created (or first appeared) in various media,"""He was created by Jack Kirby in Captain America Annual #4 (1977).""",10.513547,0.8733018,He was created by Jack Kirby in Captain America Annual #4 (1977).
194,"Year-specific Events or Releases, 1984 Focus, Various Locations","""The school opened in 1984.""",12.753378,0.55001694,The school opened in 1984.
195,Magnolia/Magnoliaceae/Movie/Media,"""Its code is VMA.""",12.177992,8.018934,Its code is VMA.
196,"Former Athletes, Various Sports, International Competitors","""Ray Wilcox is a Welsh former professional footballer.""",13.0991125,4.889102,Ray Wilcox is a Welsh former professional footballer.
197,County seats listed (Geographic locations),"""Its county seat is Little Falls.""",6.3950486,2.7066867,Its county seat is Little Falls.
198,"Mechanical Transmission Systems, Gears, Vehicles","""The driving shaft carries the input power into the gearbox.""",8.256496,4.6513677,The driving shaft carries the input power into the gearbox.
199,Careers and Professionals,"""As of January 9, 2013 American Career Institute has officially closed its doors.""",12.171822,2.675035,"As of January 9, 2013 American Career Institute has officially closed its doors."
200,"Delivered, Issued, Donated","""It was given to the 20th United States Congress.""",10.245383,2.543178,It was given to the 20th United States Congress.
201,"Carts, Locations, Historical Events","""Tagore wrote his first Drama on Karwar beach.""",10.56194,1.695188,Tagore wrote his first Drama on Karwar beach.
202,"Other, Alternative, Additional","""Other methods are also used.""",8.467749,2.4794674,Other methods are also used.
203,"Governmental or Premier Level, Football Clubs, Brands or Media","""The Premier hands out the cabinet jobs.""",8.379326,6.9103117,The Premier hands out the cabinet jobs.
204,"Discarded, Abandoned, Scrapped (or Restored and Abandoned)","""The locomotive was scrapped in October 2010.""",11.307559,1.6583991,The locomotive was scrapped in October 2010.
205,"Elements, Variety, Integration","""Four elements are essential to maternal death prevention.""",8.584712,4.2204986,Four elements are essential to maternal death prevention.
206,Time Duration (hours),"""Battery life of the VuGo is approximately three hours.""",11.360558,1.0771692,Battery life of the VuGo is approximately three hours.
207,Monotypic Genera or Species within Various Taxonomic Groups,"""The genus Jablonskia is monotypic.""",7.3998885,5.8166833,The genus Jablonskia is monotypic.
208,Contested Claims or Statements,"""Clinton denied these claims.""",10.433098,2.720382,Clinton denied these claims.
209,Central Locations or Entities,"""Wellington Central is an inner-city suburb of New Zealand's capital, Wellington.""",9.502714,5.4993114,"Wellington Central is an inner-city suburb of New Zealand's capital, Wellington."
210,Titles Involving Loss or Discovery,"""Lost @ Sea is an album by New Zealand Christian Rock band The Lads.""",11.396017,3.1067076,Lost @ Sea is an album by New Zealand Christian Rock band The Lads.
211,"Leadership Roles, Entertainment, Namesakes (or Titles)","""A spymaster is the leader of a spy ring, run by a secret service.""",12.333312,8.161817,"A spymaster is the leader of a spy ring, run by a secret service."
212,"Stable, Unknown, Continued/Persistent","""The result is the same.""",8.750137,1.5861714,The result is the same.
213,"Norfolk, England, Locations","""The Norfolk Terrier is a British breed of dog.""",8.205701,8.83487,The Norfolk Terrier is a British breed of dog.
214,Tennessee-related topics,"""He attended the University of Tennessee.""",9.300801,7.865548,He attended the University of Tennessee.
215,Sheffield-Related Topics,"""Sheffield has been doing remote recordings for over 20 years.""",9.224467,7.3233123,Sheffield has been doing remote recordings for over 20 years.
216,Individuals' Career Transitions and Locations,"""He served curacies at St Andrew, Dundee and St Savior, Pimlico.""",11.84885,2.63327,"He served curacies at St Andrew, Dundee and St Savior, Pimlico."
217,"Essential, Importance, Fundamentals","""Four elements are essential to maternal death prevention.""",8.976805,2.4516575,Four elements are essential to maternal death prevention.
218,"Adoption, Approval, Acceptance","""It was accepted on September 12, 1922.""",11.045271,2.5704691,"It was accepted on September 12, 1922."
219,Animals and Species Classification,"""Ischnura is a genus of damselflies known as forktails in the family Coenagrionidae.""",7.6140323,6.300767,Ischnura is a genus of damselflies known as forktails in the family Coenagrionidae.
220,Atlantic Associations or Entities,"""It was released by Atlantic Records on September 12, 1995.""",11.722766,7.089582,"It was released by Atlantic Records on September 12, 1995."
221,"Formation and Development, Collaboration, Institutions or Organizations","""The Cagur Band, which was formed by members of the comedy group Cagur.""",9.858984,1.8346014,"The Cagur Band, which was formed by members of the comedy group Cagur."
222,"Bringing, Carrying, Portability","""But what is he bringing?""",8.373075,4.9710584,But what is he bringing?
223,"Insects, Plants, and Festivals","""Caveana is a genus of moth in the family Lecithoceridae.""",7.7700505,6.444344,Caveana is a genus of moth in the family Lecithoceridae.
224,"Love, Wisdom, Dignity, Passion, Self-discovery","""If We Fall in Love?""",9.253905,1.5062222,If We Fall in Love?
225,Construction projects timeline,"""Construction was completed in 2016.""",11.34665,1.5108112,Construction was completed in 2016.
226,"Hierarchy, Organizational Structure, Social Order, Relationships","""An object hierarchy is a concept from computer programming.""",9.018014,3.9056854,An object hierarchy is a concept from computer programming.
227,"Major Population/Town Centers, Educational Backgrounds, Historical Alliances","""Its major population center was Bolton.""",7.5327616,3.450377,Its major population center was Bolton.
228,"Locations, Streets, and Buildings","""It is located at 1500 U Street.""",6.959437,4.2972646,It is located at 1500 U Street.
229,"Locations, Entities, and Reproduction (Geographical places, entities named, and reproductive methods mentioned)","""The Oohlas are an American rock band from Los Angeles, California formed in 2004.""",10.390763,7.982324,"The Oohlas are an American rock band from Los Angeles, California formed in 2004."
230,"Irrevocable, Disputed, Unpopular, Disputed, Unnavigable","""A disclaimer of interest is irrevocable.""",9.34583,2.504944,A disclaimer of interest is irrevocable.
231,"Past or Current States, Changes, Verification or Accessibility","""Gender equality has been achieved.""",9.357334,1.7533555,Gender equality has been achieved.
232,"Locations named ""Lima"" or associated with limestone","""Lima Central Catholic High School is located in Lima Ohio.""",9.703826,6.815359,Lima Central Catholic High School is located in Lima Ohio.
233,Varied Entities or Groups,"""Their name translates to \""wild little people\"".""",11.051609,3.7470264,"Their name translates to ""wild little people""."
234,Individuals' Careers and Transitions,"""Lushan Fernando was a Sri Lankan cricketer.""",12.766246,2.2706916,Lushan Fernando was a Sri Lankan cricketer.
235,"Islands, Locations, Geography","""Islands continued without Thompson.""",10.29191,6.5680313,Islands continued without Thompson.
236,"Individuals (Born, Lived, Worked)","""George Holz (born October 19, 1956) is an American photographer known for his fashion and celebrity portraiture.""",12.885824,7.2110443,"George Holz (born October 19, 1956) is an American photographer known for his fashion and celebrity portraiture."
237,Species Diversity and Distribution,"""There are approximately 20 species.""",7.201135,5.510251,There are approximately 20 species.
238,"Historical entities, events, or entities related to historical events","""The station opened on December 30, 1976 at the railway line to Wriezen built in 1898.""",7.1003127,7.3210497,"The station opened on December 30, 1976 at the railway line to Wriezen built in 1898."
239,Media and Entertainment Content,"""This station provides KTM Intercity train services.""",10.351749,-0.62537456,This station provides KTM Intercity train services.
240,"Organizations and Publications, Opposition, Sponsorship, Ownership, Controversial Content","""The Berthomeau Report, like Plan Bordeaux, has met considerable organized opposition.""",10.708049,1.0969236,"The Berthomeau Report, like Plan Bordeaux, has met considerable organized opposition."
241,"Individuals, Death Dates, Names (First or Given)","""Islands continued without Thompson.""",8.659311,7.659069,Islands continued without Thompson.
242,"Public Figures, Leadership Roles, Time-Specific Positions","""He was the 28th Premier of British Columbia from 1986 to 1991.""",12.60903,2.4045694,He was the 28th Premier of British Columbia from 1986 to 1991.
243,"Clones, Sports, and Media (subjects)","""At club level Clancy has won several championship medals with Clonakilty.""",9.38818,6.607325,At club level Clancy has won several championship medals with Clonakilty.
